know behind ukraine free rich advanced west cant win stupid keep fighting get killed ukraine ukrainerussiawar warinukraine russiaukrainewar russiaisaterroriststate russians russia ukrainewar bachmut, {'neg': 0.267, 'neu': 0.424, 'pos': 0.309, 'compound': 0.1541}, {'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.25};
🇮🇳 love nattu naatu song rrr movie nato porn hub organisation say nato saynotonato 🇮🇳 🇷🇺 every field russia india brothers another mother 🤝 🇮🇳♥️🇷🇺 russia definitely get success western pussies, {'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.891}, {'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.17, 'Fear': 0.33};
ukrainewar ukraine russia 📍the deputy minister defense announced liberation makarivka zaporizhzhiaoblast settlement deepstatemap, {'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.128}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
russia needs kicked un ! ! ! barbaric actions must tolerated ! ! ! putin ever leaves russia must arrested turned hague waiting putinwarcriminal, {'neg': 0.201, 'neu': 0.799, 'pos': 0.0, 'compound': -0.6449}, {'Happy': 0.0, 'Angry': 0.17, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.33};
prigozhin doesnt toe line russia soon one less problem ukraine deal ukrainecounteroffensive, {'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.3415}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
large batches 122mm 152mm artillery shells produced 2023 prohibited use russia due selfdetonation russiaukrainewar, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
oh yes donetsk supposedly bombed ukraine 8 years mariupol looks like 3months russian bombing russia invasion, {'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.6369}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
macron calls iran immediately end support russia ukraine war, {'neg': 0.287, 'neu': 0.515, 'pos': 0.199, 'compound': -0.296}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
according president volodymyr zelensky ukrainian counteroffensive war russia underway think ukrsine successful putin biden erdoğan xijinping china usa nato turkey france sweden wagner dam leopards offensive, {'neg': 0.205, 'neu': 0.682, 'pos': 0.113, 'compound': -0.4767}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0};
russia ukraine war ukrainian female medic cause time add yet proof nazis ukraine evergrowing list waiting netflix special ukrainian transsexual nazis, {'neg': 0.152, 'neu': 0.742, 'pos': 0.105, 'compound': -0.296}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.25, 'Fear': 0.25};
rush battle often potent lethal addiction war drug russia putin ukraine russianarmy ukrainerussiawar natorussiawar nato usa biden germany russiawar dam zelensky zelenskywarcriminal war borderinvasion border gas stolen quote, {'neg': 0.362, 'neu': 0.638, 'pos': 0.0, 'compound': -0.9274}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0};
russia china winning neocons furious w garland nixo via usa desperately trying deflect terrorist attack nordstream carried admitting supposedly knew ukraine involved 3 months time first us controls ukraine secondly deflect us involvement, {'neg': 0.324, 'neu': 0.598, 'pos': 0.078, 'compound': -0.8934}, {'Happy': 0.0, 'Angry': 0.2, 'Surprise': 0.0, 'Sad': 0.2, 'Fear': 0.6};
zaporizhzhya front orekhovsky direction work isdm farming mines area remotely putin russia ukraine russiaukrainewar zelenskywarcriminal naziukraine, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
dont poke bear unless youre ready face wrath unknown russia america went way easy britneygriner swap left americans behind excellent opportunity lay marker failed russia saw weakness pounced americans safe russia knows perhaps nations cuba russia exerts needed, {'neg': 0.118, 'neu': 0.597, 'pos': 0.285, 'compound': 0.8271}, {'Happy': 0.57, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.14, 'Fear': 0.29};
kislovodsk national park largest europe justly compared richmond park london 10 hectares bigger occupies almost 966 ha known picturesque paths therapeutic walking flowerbeds valley roses rose garden russia, {'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.575}, {'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5};
spot anti russia propaganda us empirebootlicking southafrican online rag hard find capetown, {'neg': 0.388, 'neu': 0.612, 'pos': 0.0, 'compound': -0.5719}, {'Happy': 0.0, 'Angry': 0.67, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.33};
last 1 video showing afuukrainianukraine tanks hits russiarussianarmy shocking mercenarys wanted jump tanks fails poor ukrainians rolling around around wheel og tanks nato driver give fuck abt escaping zaporozhye, {'neg': 0.333, 'neu': 0.634, 'pos': 0.033, 'compound': -0.8979}, {'Happy': 0.17, 'Angry': 0.17, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.33};
icymi survey global nuclear order year two russias war ukraine also featuring china iran npt tpnw risk reduction competition european divisions late margaret thatcher lets rock till explode, {'neg': 0.188, 'neu': 0.812, 'pos': 0.0, 'compound': -0.7184}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.67, 'Fear': 0.33};
takes two russia given numerous chances progress reform prosper 90s financial humanitarian aid 2000s investment energy sector 2008 2014 russian crimes invasion ignored russia commit even crimes, {'neg': 0.069, 'neu': 0.663, 'pos': 0.268, 'compound': 0.6808}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.29, 'Sad': 0.29, 'Fear': 0.43};
battle kyiv russian invasion ukraine documentary ukraine russia ukrainewar modernwarfare recap 22522 33122, {'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.3818}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
clausewitz nuclear crisis stability russianukrainianwar russia kherson ukraine ukrainerussiawar ukrainewar nuclearwar nato nuclearweapons putin zelensky russia & gtenlightening & gt political science quarterly, {'neg': 0.163, 'neu': 0.754, 'pos': 0.083, 'compound': -0.4588}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0};
ukraine 🇺🇦beats russia 🇷🇺here 🤣, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}, {'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0};
according spokesperson ukrainian military tavria region russia blew dam novodarivka zaporizhzhya region prevent ukrainian breakthrough, {'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.0258}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0};
exclusive footage proves treatment afu servicemen meat nazis instead saving wounded comrade finished burned putin russia ukraine russiaukrainewar zelenskywarcriminal naziukraine, {'neg': 0.167, 'neu': 0.769, 'pos': 0.064, 'compound': -0.5267}, {'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.67};
stupid crosses like pure delusion russia, {'neg': 0.343, 'neu': 0.404, 'pos': 0.253, 'compound': -0.2263}, {'Happy': 0.0, 'Angry': 1.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0};
words arms manufacturing companies trying much prevent trump becoming president want war unfortunately would war negotiated 24 hours russia ukraine nonatonowar ☮️🙏🏿☮️🙏🏿☮️🙏🏿, {'neg': 0.345, 'neu': 0.574, 'pos': 0.081, 'compound': -0.8689}, {'Happy': 0.0, 'Angry': 0.25, 'Surprise': 0.25, 'Sad': 0.5, 'Fear': 0.0};
fragments western projectile found cooling pool zaporizhzhia nuclear power plant reactor according russian media tension russia ukraine escalates russia ukraine nuclear, {'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.3182}, {'Happy': 0.33, 'Angry': 0.33, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.33};
